,county,age group,est_population,est_age_16plus_pop,administered_date,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose,cumulative_unvax_total_pop,cumulative_unvax_16plus_pop,% with at least one dose (out of entire pop),% fully vaccinated (out of entire pop)
22212,Marin,50-64,57467.0,57467.0,2021-04-14,467.0,19407.0,1072.0,26280.0,468.0,45687.0,11780.0,11780.0,0.7950127899490143,0.45730593210016185
22213,Nevada,50-64,18953.0,18953.0,2021-02-18,59.0,1373.0,73.0,1059.0,59.0,2432.0,16521.0,16521.0,0.128317416767794,0.055875059357357676
22214,Marin,50-64,57467.0,57467.0,2021-04-11,150.0,20466.0,219.0,23819.0,190.0,44285.0,13182.0,13182.0,0.7706161797205353,0.41448135451650514
22215,Nevada,50-64,18953.0,18953.0,2021-02-17,96.0,1387.0,114.0,986.0,96.0,2373.0,16580.0,16580.0,0.12520445312087797,0.05202342637049544
22216,Marin,50-64,57467.0,57467.0,2021-04-06,1156.0,21053.0,712.0,19342.0,1356.0,40395.0,17072.0,17072.0,0.7029251570466528,0.33657577392242505
22217,Nevada,50-64,18953.0,18953.0,2021-02-16,22.0,1405.0,40.0,872.0,22.0,2277.0,16676.0,16676.0,0.12013929193267557,0.04600854745950509
22218,Marin,18-49,83333.0,83333.0,2021-01-03,21.0,2472.0,0.0,0.0,21.0,2472.0,80861.0,80861.0,0.029664118656474624,0.0
22219,Nevada,50-64,18953.0,18953.0,2021-02-15,18.0,1423.0,19.0,832.0,18.0,2255.0,16698.0,16698.0,0.11897852582704585,0.043898063631087426
22220,Marin,0-17,46842.0,6831.0,2021-01-29,0.0,25.0,0.0,17.0,0.0,42.0,46800.0,6789.0,0.0008966312283847829,0.00036292216387003116
22221,Nevada,50-64,18953.0,18953.0,2021-02-14,7.0,1424.0,0.0,813.0,7.0,2237.0,16716.0,16716.0,0.1180288081042579,0.04289558381258904
22222,Marin,50-64,57467.0,57467.0,2021-03-24,773.0,17192.0,573.0,10934.0,804.0,28126.0,29341.0,29341.0,0.48942871561069834,0.19026571771625456
22223,Nevada,50-64,18953.0,18953.0,2021-02-13,43.0,1417.0,73.0,813.0,43.0,2230.0,16723.0,16723.0,0.1176594734342848,0.04289558381258904
22224,Marin,50-64,57467.0,57467.0,2021-03-19,915.0,15724.0,294.0,9160.0,1019.0,24884.0,32583.0,32583.0,0.4330137296187377,0.15939582717037604
22225,Nevada,50-64,18953.0,18953.0,2021-02-12,37.0,1447.0,56.0,740.0,37.0,2187.0,16766.0,16766.0,0.11539070331873583,0.0390439508257268
22226,Marin,0-17,46842.0,6831.0,2021-02-09,0.0,23.0,0.0,25.0,0.0,48.0,46794.0,6783.0,0.0010247214038683233,0.0005337090645147518
22227,Nevada,50-64,18953.0,18953.0,2021-02-11,30.0,1466.0,31.0,684.0,30.0,2150.0,16803.0,16803.0,0.11343850577744947,0.03608927346594207
22228,Marin,0-17,46842.0,6831.0,2021-02-15,0.0,16.0,0.0,34.0,0.0,50.0,46792.0,6781.0,0.0010674181290295035,0.0007258443277400623
22229,Nevada,50-64,18953.0,18953.0,2021-02-10,19.0,1467.0,30.0,653.0,19.0,2120.0,16833.0,16833.0,0.11185564290613623,0.034453648498918375
22230,Marin,50-64,57467.0,57467.0,2021-03-01,407.0,4099.0,52.0,6405.0,407.0,10504.0,46963.0,46963.0,0.1827831625106583,0.1114552699810326
22231,Nevada,50-64,18953.0,18953.0,2021-02-09,42.0,1478.0,37.0,623.0,42.0,2101.0,16852.0,16852.0,0.11085316308763785,0.03287078562760513
22232,Marin,50-64,57467.0,57467.0,2021-02-24,223.0,2712.0,118.0,6130.0,223.0,8842.0,48625.0,48625.0,0.15386221657646998,0.10666991490768615
22233,Nevada,50-64,18953.0,18953.0,2021-02-08,36.0,1473.0,37.0,586.0,36.0,2059.0,16894.0,16894.0,0.1086371550677993,0.03091858808631879
22234,Marin,50-64,57467.0,57467.0,2021-02-16,101.0,2561.0,179.0,5317.0,101.0,7878.0,49589.0,49589.0,0.13708737188299372,0.09252266518175649
22235,Nevada,50-64,18953.0,18953.0,2021-02-07,11.0,1474.0,13.0,549.0,11.0,2023.0,16930.0,16930.0,0.10673771962222339,0.028966390545032448
22236,Marin,50-64,57467.0,57467.0,2021-02-12,129.0,2734.0,351.0,4870.0,129.0,7604.0,49863.0,49863.0,0.1323194181008231,0.08474428802617154
22237,Nevada,50-64,18953.0,18953.0,2021-02-06,12.0,1476.0,6.0,536.0,12.0,2012.0,16941.0,16941.0,0.10615733656940854,0.02828048330079671
22238,Marin,50-64,57467.0,57467.0,2021-02-07,43.0,3734.0,277.0,3353.0,43.0,7087.0,50380.0,50380.0,0.12332295056293177,0.058346529312474985
22239,Nevada,50-64,18953.0,18953.0,2021-02-05,50.0,1470.0,61.0,530.0,50.0,2000.0,16953.0,16953.0,0.10552419142088323,0.027963910726534057
22240,Marin,50-64,57467.0,57467.0,2021-02-01,73.0,4575.0,63.0,2060.0,73.0,6635.0,50832.0,50832.0,0.1154575669514678,0.0358466598221588
22241,Nevada,50-64,18953.0,18953.0,2021-02-04,70.0,1481.0,61.0,469.0,70.0,1950.0,17003.0,17003.0,0.10288608663536115,0.02474542288819712
22242,Marin,50-64,57467.0,57467.0,2021-01-26,136.0,4469.0,145.0,1682.0,136.0,6151.0,51316.0,51316.0,0.10703534202237806,0.02926897175770442
22243,Nevada,50-64,18953.0,18953.0,2021-02-03,179.0,1472.0,19.0,408.0,179.0,1880.0,17073.0,17073.0,0.09919273993563024,0.02152693504986018
